index,special token
185,론위즐리
186,롤랜다 후치
187,루모스
188,루모스 막시마
189,루모스 솔렘
190,루모스 주문
191,루비우스 해그리드
192,루핀
193,루핀 교수님
194,리닥텀 스컬러스
195,리덕토
196,리디큘러스
197,리머스
198,리머스 루핀
199,리머스 루핀 교수님
200,리멤브럴
201,리무스
202,리무스 교수
203,리무스 교수님
204,리무스 루핀
205,리무스 루핀 교수님
206,리무스교수
207,리타 스키터
208,리타스키터
209,릭투셈프라
210,릴리 포터
211,마녀
212,마력 강화제
213,마법 도구
214,마법 방어막
215,마법 분류모자
216,마법 생명체 돌보기
217,마법 생물
218,마법 식물
219,마법 역사
220,마법 저항
221,마법 정부
222,마법 정부 총리실 비서실장
223,마법 주문
224,마법 채스
225,마법 체스
226,마법 학교
227,마법분류 모자
228,마법분류모자
229,마법사
230,마법사 돌
231,마법사의 돌
232,마법사의 세계
233,마법사의돌
234,마법사지팡이
235,마법생물
236,마법세계
237,마법약
238,마법약 담당 교수님
239,마법약 제조
240,마법의 동물
241,마법의 분류 모자
242,마법의 분류모자
243,마법의 생물
244,마법의 역사
245,마법의동물
246,마법의생물
247,마법주문
248,마법지팡이
249,마법채스
250,마법체스
251,마이쿠스
252,말포이
253,매드아이
254,매드아이 무디
255,매드아이 무디 교수님
256,맥고나걸
257,맥고나걸 교수
258,맥고나걸교수
259,맨 드래이크
260,맨 드레이크
261,맨드래이크
262,맨드레이크
263,머글
264,머글학
265,머디밀리우스
266,머로 더즈
267,머로더즈
268,머리 셋 달린 사나운 괴수
269,머리를 좋게하는 약
270,머리셋 달린 사나운괴수
271,머틀
272,멀티코포스
273,멕고나걸
274,멘 드래이크
275,멘 드레이크
276,멘드래이크
277,멘드레이크
278,모빌리코푸스
279,모우닝 머틀
280,몸을 오그라들게 하는 약
281,무디
282,무디 교수님
283,무언 주문
284,무영창 주문
285,뮤커스 애드 나우짐
286,미네르바
287,미네르바 맥고나걸
288,미네르바 맥고나걸 교수님
289,밈블 웜블
290,바실리스크
291,바질리스크
292,바티미어스 크라우치 2세
293,바티미어스 크라우치2세
294,바티미어스크라우치 2세
295,바티미어스크라우치2세
296,반장
297,반장 목욕탕
298,반장 전용 욕실
299,반장목욕탕
300,반짝거리는 새들
301,반짝반짝 거리는 새들
302,반짝반짝 거리는새들
303,반짝반짝거리는 새들
304,배라 베어토
305,배럴통
306,배스시다 배블링
307,뱀의 말
308,버밀리우스
309,버터 맥주
310,버터맥주
311,벅빅
312,번환마법
313,베라
314,베라 베라토
315,베라 베아토
316,베라 베어토
317,베라 베어토 주문
318,베럴통
319,베리타세룸
320,베스셰다 배블링
321,베스킨 라빈스
322,벤투스
323,변신
324,변신(변환)술
325,변신술
326,변신술 마법
327,변실술
328,변형술
329,변화 마법
330,변환 마법
331,변환 마법 이론
332,변환 마법 주문
333,변환 마법주문
334,변환마법
335,변환마법 주문
336,변환마법주문
337,변환술
338,보가트
339,보거트
340,보호 마법
341,볼드모트
342,봄바르다
343,봄바르다 막시마
344,부디풋 부인의 찻집
345,부풀어 오르는 약
346,북쪽 탑
347,불사조
348,불사조 기사단
349,불사조의 눈물
350,불의 잔
351,블랙
352,블렉
353,비밀 지도
354,비밀 통로
355,비밀의 방
356,비밀의 방 입구
357,비밀의방
358,비밀지도
359,비밀통로
360,비페라 에바네스카
361,비페라 에바네스카 주문
362,비행
363,비행술
364,빈스
365,빈스 교수님
366,빗자루
367,사냥터지기
368,산술점
369,살라자르 슬리데린
370,살라자르슬리데린
371,살아있는 죽음의 약 제조
372,상급 해독제 만들기
373,새스트랄
374,새스트럴
375,선택과목
376,세베루스
377,세베루스 스네이프
378,세베루스 스네이프 교수님
379,세스트랄
380,세스트럴
381,세인트 멍고 마법 질병 상해 병원
382,셉티마 벡터
383,소노루스
384,순간이동
385,순수혈통
386,숫자점
387,스네이프
388,스네이프 교수
389,스네이프 교수님
390,스리 브룸스틱스
391,스리 브름스틱스
392,스리브룸스틱스
393,스리브름스틱스
394,스캐맨더
395,스캐멘더
396,스케맨더
397,스케멘더
398,스코지파이
399,스큅
400,스키터
401,스투페파이
402,스페시얼리스 리벨리오
403,스폰지파이
404,스프라우트
405,스프라우트 교수
406,스프라우트 교수님
407,스프라우트교수님
408,슬러그 혼
409,슬러그혼
410,슬리대린
411,슬리데린
412,슬리데린 사감
413,시니스트라
414,시니스트라 교수님
415,시리우스
416,시리우스 블랙
417,시리우스 블렉
418,시리우스블랙
419,시리우스블렉
420,시빌 트릴로니
421,시빌트릴로니
422,신비한 동물
423,신비한 동물 돌보기
424,신비한 동물사전
425,신비한동물
426,신비한동물 돌보기
427,신비한동물돌보기
428,실렌시오
429,쓰리 브룸스틱스
430,쓰리브룸스틱스
431,아라고그
432,아레스토 모멘텀
433,아레스토모멘텀
434,아르마 핀스
435,아모텐시아
436,아미쿠스 캐로
437,아미쿠스 캐로 교수님
438,아바다 캐다브라
439,아바다 케다브라
440,아비스
441,아비포스
442,아씨오
443,아씨오 주문
444,아즈카반
445,아쿠아멘티
446,아쿠아멘티 마법
447,아쿠아에룩토
448,아쿠아에룩토 마법
449,아크로 맨툴라
450,아크로 멘툴라
451,아크로맨툴라
452,아크로멘툴라
453,악마의 덧
454,악마의 덪
455,악마의 덫
456,악마의덧
457,악마의덪
458,악마의덫
459,악을 쓰는 오두막
460,악을 쓰는오두막
461,악을쓰는 오두막
462,악을쓰는오두막
463,알렉토 캐로
464,알로호모라
465,알버스 덤블도어
466,알호로모라
467,애니마구스
468,애크로 맨툴라
469,애크로 멘툴라
470,애크로맨툴라
471,애크로멘툴라
472,야누스 딕키 병동
473,야외 실습형
474,야외실습형
475,약초 수업
476,약초수업
477,약초학
478,약초학 담당 교수님
479,약초학 수업
480,약초학수업
481,어둠의 마법 방어법
482,어둠의 마법 방어술
483,어둠의 마법 방어술 교수님
484,어둠의 마법방어법
485,어둠의 마법방어술
486,어둠의마법 방어법
487,어둠의마법 방어술
488,어둠의마법방어법
489,어둠의마법방어술
490,엄브리지
491,엄브리지 교수님
492,에니마구스
493,에바네스코
494,에폭시미스
495,엑스펄소
496,엑스펠리아르무스
497,엔토몰피스
498,여자화장실
499,연금술
500,연회복
501,연회장
502,영사기
503,오러
504,오로라
505,오로라 시니스트라
506,오로라 시니스트라 교수님
507,오르비스
508,오르치데우스
509,오르치데우스 주문
510,오르치데우스주문
511,오클루먼시
512,온실
513,옵스큐로
514,옵푸그노
515,와디와시
516,용
517,용의 알
518,용의알
519,우측 3층 복도
520,우측 3층 출입금지 복도
521,우측 3층 출입금지복도
522,우측3층 출입 금지 복도
523,우측3층 출입금지
524,울보 머틀
525,움직이는 계단
526,움직이는계단
527,웅가르디움 레비오사
528,위즐리 부인
529,위즐리 쌍둥이
530,"위즐리부인, 호울러"
531,위즐리쌍둥이
532,윙가르디움 레비오사
533,윙가르디움 레비오우사
534,유니콘
535,유령 교수님
536,이부빌로
537,익스펙토 패트로눔
538,익스펙토 패트로늄
539,인반 마법 주문
540,인센디오
541,인어
542,인카서러스
543,인카서어스
544,일반 마법
545,일반 마법 주문
546,일반 마법주문
547,일반마법
548,일반마법 주문
549,일반마법주문
550,임모뷸러스
551,임페디멘타
552,임페리오
553,입 닥쳐 말포이
554,입닥쳐 말포이
555,입닥쳐말포이이
556,입학 승인 깃펜
557,입학 허가 책
558,잉고르지오 스컬러스
559,잉코르지오
560,잌나이 서러스
561,자습
562,잡종
563,장학관
564,저주 차단 전문가
565,저항 주문
566,저항주문
567,점술
568,점술 머글학
569,제1차 마법사 전쟁
570,제2차 마법사 전쟁
571,제한 구역
572,제한구역
573,종기를 치료하는 약
574,종코의 장난감 가게
575,종코의 장난감가게
